idmeter,clus_num
22814755,5
22814756,4
22814757,7
22814758,1
22814759,7
22814760,4
22814761,3
22814762,3
22814763,1
22814764,4
22814766,2
22814767,7
22814768,8
22814769,1
22814771,11
22814772,7
22814775,4
22814776,1
22814777,1
22814778,4
22814779,4
22814780,9
22814781,10
22814782,7
22814783,1
22814784,11
22814785,4
22814786,1
22814787,4
22814788,1
22814789,7
22814791,7
22814792,4
22814793,1
22814794,4
22814795,3
22814796,4
22814798,4
22814799,11
22814800,7
22814801,4
22814803,7
22814804,11
22814805,4
22814808,4
22814810,12
22814811,4
22814812,4
22814813,4
22814814,3
22814815,4
22814816,10
22814817,7
22814818,4
22814819,6
22814822,4
22814824,1
22814826,7
22814828,7
22814829,4
22814830,11
22814831,1
22814832,8
22814833,1
22814834,7
22814835,9
22814836,9
22814837,10
22814838,1
22814842,4
22814843,7
22814845,1
22814846,7
22814849,4
22814851,1
22814852,2
22814853,1
22814854,9
22814855,1
22814856,11
22814857,1
22814858,10
22814859,7
22814860,3
22814861,7
22814862,4
22814863,1
22814864,4
22814865,4
22814866,3
22814867,6
22814868,4
22814869,11
22814870,1
22814871,3
22814872,1
22814873,1
22814874,11
22814875,1
22814876,5
22814877,3
22814878,11
22814879,3
22814880,8
22814881,1
22814883,4
22814884,9
22814886,7
22814889,1
22814890,12
22814892,1
22814893,7
22814894,4
22814895,4
22814896,11
22814897,11
22814898,4
22814901,4
22814904,11
22814905,9
22814906,1
22814907,1
22814908,11
22814909,1
22814912,1
22814913,4
22814915,4
22814916,1
22814917,7
22814918,1
22814919,9
22814920,1
22814921,2
22814922,4
22814923,7
22814924,2
22814925,7
22814926,6
22814927,7
22814928,4
22814929,5
22814930,5
22814931,1
22814934,3
22814935,8
22814936,1
22814937,5
22814940,8
22814941,7
22814942,4
22814943,5
22814944,1
22814945,7
22814946,5
22814947,4
22814948,11
22814949,3
22814950,7
22814952,7
22814953,4
22814954,3
22814956,11
22814957,4
22814958,4
22814960,4
22814963,4
22814964,12
22814965,4
22814967,5
22814968,5
22814969,4
22814971,1
22814972,5
22814973,4
22814977,9
22814978,4
22814979,1
22814980,1
22814981,7
22814983,3
22814984,1
22814985,8
22814986,7
22814987,8
22814989,1
22814990,7
22814991,11
22814992,4
22814993,1
22814994,4
22814995,1
22814996,7
22814998,11
22814999,1
22815001,1
22815002,7
22815003,1
22815004,7
22815005,7
22815006,11
22815009,4
22815010,4
22815011,3
22815012,4
22815014,7
22815015,9
22815016,1
22815017,1
22815018,7
22815019,10
22815020,11
22815021,4
22815022,11
22815023,12
22815024,4
22815025,11
22815026,11
22815027,10
22815028,7
22815029,5
22815030,3
22815031,1
22815032,1
22815033,12
22815034,11
22815037,1
22815038,11
22815039,4
22815040,11
22815041,7
22815043,1
22815044,1
22815045,7
22815046,1
22815049,4
22815051,1
22815052,1
22815053,1
22815054,4
22815055,4
22815056,7
22815057,1
22815058,4
22815059,4
22815060,7
22815061,7
22815062,10
22815064,9
22815066,11
22815067,4
22815068,11
22815069,1
22815070,1
22815071,4
22815072,7
22815073,4
22815074,11
22815075,11
22815076,10
22815077,3
22815078,4
22815079,7
22815080,12
22815081,4
22815082,4
22815083,12
22815084,7
22815085,4
22815086,4
22815087,7
22815088,4
22815089,7
22815090,7
22815092,4
22815094,1
22815095,4
22815098,4
22815099,4
22815100,9
22815101,7
22815102,8
22815103,3
22815104,3
22815105,10
22815106,7
22815107,11
22815108,4
22815109,1
22815110,11
22815111,7
22815113,4
22815114,4
22815115,11
22815116,12
22815117,7
22815118,1
22815119,1
22815121,10
22815122,4
22815123,1
22815124,4
22815126,1
22815127,1
22815128,1
22815129,5
22815131,11
22815132,11
22815133,11
22815134,4
22815135,11
22815136,11
22815138,4
22815139,4
22815140,5
22815141,4
22815142,4
22815143,4
22815144,1
22815145,4
22815146,4
22815148,1
22815149,4
22815151,1
22815152,12
22815153,4
22815154,4
22815155,7
22815156,4
22815157,11
22815158,1
22815159,1
22815160,11
22815161,1
22815163,7
22815164,1
22815165,3
22815166,4
22815167,11
22815168,10
22815170,4
22815171,4
22815172,11
22815173,1
22815174,1
22815175,4
22815176,1
22815177,7
22815178,7
22815179,4
22815180,3
22815181,1
22815182,11
22815183,1
22815186,7
22815187,3
22815188,1
22815189,1
22815190,1
22815191,8
22815192,7
22815194,11
22815195,3
22815196,4
22815197,1
22815199,11
22815200,11
22815201,7
22815202,1
22815203,4
22815204,1
22815205,4
22815206,3
22815207,11
22815208,4
22815209,11
22815210,11
22815211,1
22815213,7
22815214,4
22815215,11
22815216,1
22815217,6
22815218,1
22815219,6
22815220,7
22815221,4
22815222,7
22815223,5
22815224,4
22815225,7
22815226,6
22815227,12
22815228,11
22815229,1
22815230,1
22815232,4
22815234,1
22815235,3
22815236,1
22815237,4
22815238,9
22815240,1
22815241,3
22815242,4
22815244,1
22815245,11
22815249,4
22815250,7
22815251,1
22815252,6
22815253,7
22815254,7
22815256,8
22815257,1
22815258,6
22815259,11
22815260,5
22815261,11
22815262,3
22815263,7
22815265,3
22815266,11
22815267,3
22815268,7
22815269,4
22815271,4
22815272,7
22815273,1
22815274,4
22815275,1
22815276,4
22815277,1
22815279,4
22815280,12
22815281,1
22815282,4
22815283,1
22815284,4
22815285,1
22815286,4
22815287,1
22815289,1
22815290,4
22815292,1
22815293,1
22815295,1
22815296,7
22815297,7
22815300,4
22815301,3
22815302,4
22815303,3
22815304,6
22815306,5
22815308,1
22815309,4
22815310,5
22815311,5
22815312,4
22815313,10
22815314,1
22815316,4
22815317,1
22815319,1
22815320,1
22815321,4
22815324,1
22815325,7
22815326,11
22815328,3
22815330,3
22815331,1
22815332,7
22815334,3
22815336,4
22815337,3
22815339,3
22815341,12
22815343,4
22815344,1
22815345,3
22815346,3
22815347,6
22815348,1
22815349,4
22815350,7
22815351,7
22815352,1
22815353,1
22815354,10
22815355,11
22815356,11
22815357,4
